img_index,width,height,noise_std,noise_std_est,avg_mass_loss,t_diff,max_rel_gain,rel_gain_synth_1,rel_error_synth_1,rel_gain_synth_2,rel_error_synth_2,rel_gain_synth_3,rel_error_synth_3,rel_gain_synth_4,rel_error_synth_4,rel_gain_synth_5,rel_error_synth_5,rel_gain_synth_6,rel_error_synth_6,rel_gain_synth_7,rel_error_synth_7,rel_gain_synth_8,rel_error_synth_8,rel_gain_synth_9,rel_error_synth_9,rel_gain_synth_10,rel_error_synth_10,rel_gain_synth_11,rel_error_synth_11,rel_gain_synth_12,rel_error_synth_12,rel_gain_synth_13,rel_error_synth_13,rel_gain_synth_14,rel_error_synth_14,rel_gain_synth_15,rel_error_synth_15,rel_gain_synth_16,rel_error_synth_16
0,512,512,0.05,0.05293255320354469,3.9736429850260414e-08,0.063,0.23657614,0.20845889,0.022738,0.20845889,0.022738,0.20338957,0.02683747,0.206756,0.0241151,0.20508558,0.02546593,0.20508558,0.02546593,0.20508558,0.02546593,0.20508558,0.02546593,0.20338957,0.02683747,0.20508558,0.02546593,0.20508558,0.02546593,0.20508558,0.02546593,0.22782122,0.00707997,0.2328584,0.00300648,0.20508558,0.02546593,0.20845889,0.022738
0,512,512,0.1,0.10198122577717719,7.947285970052083e-08,0.14,0.47956878,0.45792958,0.01462536,0.4588092,0.01403085,0.4518269,0.01874998,0.4561904,0.0158008,0.45269242,0.01816501,0.4544413,0.01698297,0.4518269,0.01874998,0.4544413,0.01698297,0.4509381,0.01935069,0.45269242,0.01816501,0.45357826,0.01756628,0.4518269,0.01874998,0.4783064,0.00085321,0.47956878,0.,0.45357826,0.01756628,0.4588092,0.01403085
0,512,512,0.15,0.15158754970889365,7.947285970052083e-08,0.25,0.7072475,0.6830828,0.01415416,0.68419564,0.01350236,0.6736302,0.01969096,0.6802975,0.01578563,0.6736302,0.01969096,0.677507,0.01742014,0.67252827,0.02033636,0.67695594,0.01774291,0.671429,0.02098027,0.67197394,0.02066107,0.671429,0.02098027,0.6736302,0.01969096,0.7071805,3.9251834e-05,0.70723426,7.742643e-06,0.67307657,0.0200152,0.6830828,0.01415416
1,320,213,0.05,0.053711915024355406,3.820667057902973e-08,0.08600000000000001,0.20023449,0.1471981,0.04418836,0.15449275,0.03811067,0.13863394,0.05132376,0.14575036,0.04539458,0.14004105,0.05015139,0.14146377,0.04896603,0.14004105,0.05015139,0.14146377,0.04896603,0.14146377,0.04896603,0.14288396,0.04778278,0.14004105,0.05015139,0.14146377,0.04896603,0.1866967,0.01127929,0.1906072,0.00802116,0.14146377,0.04896603,0.15449275,0.03811067
1,320,213,0.1,0.1032718126523606,3.820667057902973e-08,0.20500000000000002,0.40835202,0.33774847,0.05013204,0.34976572,0.04159917,0.32367435,0.06012534,0.33606127,0.05133002,0.32692915,0.05781428,0.32939017,0.05606684,0.32529765,0.05897273,0.3277436,0.05723599,0.3277436,0.05723599,0.33188307,0.05429675,0.32692915,0.05781428,0.32692915,0.05781428,0.39739704,0.00777858,0.4001292,0.0058386,0.32610705,0.05839801,0.34976572,0.04159917
1,320,213,0.15,0.15232340736928116,7.641334115805946e-08,0.371,0.59488493,0.50120467,0.05873796,0.51741385,0.04857471,0.47988617,0.07210474,0.49786374,0.06083272,0.48294178,0.07018886,0.48709437,0.06758517,0.4814085,0.07115021,0.48553032,0.06856584,0.48345804,0.06986516,0.49295014,0.06391356,0.48242941,0.0705101,0.48242941,0.0705101,0.5853271,0.00599281,0.57908785,0.00990482,0.48089823,0.07147016,0.5132719,0.0511717
2,200,133,0.05,0.0521865017687328,2.4475250626566417e-08,0.062,0.20261262,0.16437545,0.03179508,0.17163615,0.02575765,0.14991276,0.04382114,0.16194479,0.03381624,0.1522971,0.04183852,0.15469818,0.03984196,0.14991276,0.04382114,0.15469818,0.03984196,0.15469818,0.03984196,0.15710491,0.03784071,0.15469818,0.03984196,0.15469818,0.03984196,0.20070782,0.00158388,0.19835766,0.0035381,0.15469818,0.03984196,0.17163615,0.02575765
2,200,133,0.1,0.10307270984601376,2.4475250626566417e-08,0.145,0.40228942,0.35808885,0.03152029,0.36827374,0.02425724,0.33826536,0.04565682,0.35555637,0.03332625,0.34188837,0.04307317,0.34556013,0.04045476,0.33706632,0.04651187,0.3431068,0.04220428,0.34188837,0.04307317,0.34556013,0.04045476,0.34188837,0.04307317,0.34067863,0.04393585,0.40220174,6.251186e-05,0.4005579,0.00123478,0.34188837,0.04307317,0.36827374,0.02425724
2,200,133,0.15,0.15421491249368716,2.4475250626566417e-08,0.28700000000000003,0.5924626,0.53219616,0.03784481,0.5466602,0.02876203,0.5029533,0.05620811,0.52850205,0.04016456,0.5048952,0.05498867,0.5122296,0.05038296,0.49850655,0.05900048,0.5081933,0.05291762,0.5036003,0.05580182,0.5135903,0.04952852,0.5055514,0.05457662,0.5029533,0.05620811,0.5924626,0.,0.5875645,0.00307579,0.50621104,0.05416239,0.5443402,0.03021889
3,500,332,0.05,0.05078136149400102,9.412650602409638e-08,0.051000000000000004,0.26147556,0.24542432,0.01272419,0.24542432,0.01272419,0.24114811,0.01611402,0.24330172,0.01440681,0.24330172,0.01440681,0.24330172,0.01440681,0.24330172,0.01440681,0.24330172,0.01440681,0.24330172,0.01440681,0.24330172,0.01440681,0.24330172,0.01440681,0.24330172,0.01440681,0.26011765,0.00107644,0.2613241,0.00012006,0.24330172,0.01440681,0.24748704,0.01108901
