img_index,width,height,noise_std,noise_std_est,avg_mass_loss,t_diff,max_rel_gain,rel_gain_synth_1,rel_error_synth_1,rel_gain_synth_2,rel_error_synth_2,rel_gain_synth_3,rel_error_synth_3,rel_gain_synth_4,rel_error_synth_4,rel_gain_synth_5,rel_error_synth_5,rel_gain_synth_6,rel_error_synth_6,rel_gain_synth_7,rel_error_synth_7,rel_gain_synth_8,rel_error_synth_8,rel_gain_synth_9,rel_error_synth_9,rel_gain_synth_10,rel_error_synth_10,rel_gain_synth_11,rel_error_synth_11,rel_gain_synth_12,rel_error_synth_12,rel_gain_synth_13,rel_error_synth_13,rel_gain_synth_14,rel_error_synth_14,rel_gain_synth_15,rel_error_synth_15,rel_gain_synth_16,rel_error_synth_16
0,512,512,0.05,0.052752986819964494,3.9736429850260414e-08,0.059000000000000004,0.23585325,0.20786905,0.02264362,0.2096812,0.02117732,0.20604394,0.02412043,0.20786905,0.02264362,0.20604394,0.02412043,0.20604394,0.02412043,0.20604394,0.02412043,0.20604394,0.02412043,0.20604394,0.02412043,0.20604394,0.02412043,0.20604394,0.02412043,0.20604394,0.02412043,0.22683533,0.00729692,0.23323044,0.00212227,0.20604394,0.02412043,0.2096812,0.02117732
0,512,512,0.1,0.10208577119900505,7.947285970052083e-08,0.129,0.48166075,0.4590151,0.01528395,0.4590151,0.01528395,0.45496336,0.01801855,0.4580021,0.01596765,0.45597637,0.01733485,0.45597637,0.01733485,0.45597637,0.01733485,0.456998,0.01664534,0.45597637,0.01733485,0.45496336,0.01801855,0.45597637,0.01733485,0.45393312,0.01871389,0.47926047,0.00161998,0.48165867,1.406785e-06,0.45496336,0.01801855,0.4590151,0.01528395
0,512,512,0.15,0.15213325813585424,1.1920928955078125e-07,0.215,0.70775455,0.6825165,0.01477848,0.68324196,0.01435369,0.68324196,0.01435369,0.6803426,0.01605143,0.68324196,0.01435369,0.6796138,0.01647818,0.68538594,0.01309824,0.6796138,0.01647818,0.68538594,0.01309824,0.6796138,0.01647818,0.6803426,0.01605143,0.6744851,0.01948141,0.7065881,0.00068302,0.7077449,5.6575814e-06,0.6737532,0.01990997,0.6810698,0.01562563
1,320,213,0.05,0.05340950187487039,3.820667057902973e-08,0.079,0.20086803,0.14985439,0.04248063,0.1563043,0.03710959,0.1434768,0.04779145,0.14825016,0.04381651,0.14506347,0.04647018,0.14506347,0.04647018,0.1434768,0.04779145,0.14506347,0.04647018,0.14506347,0.04647018,0.14665617,0.04514389,0.1434768,0.04779145,0.14506347,0.04647018,0.18784758,0.01084252,0.19192941,0.00744345,0.14665617,0.04514389,0.1563043,0.03710959
1,320,213,0.1,0.10252369044392229,3.820667057902973e-08,0.162,0.40811676,0.35226974,0.03966078,0.36214012,0.03265116,0.34350502,0.04588521,0.3511752,0.0404381,0.3456931,0.0443313,0.34679344,0.04354988,0.34460214,0.04510608,0.3456931,0.0443313,0.3456931,0.0443313,0.34788486,0.04277477,0.34460214,0.04510608,0.34460214,0.04510608,0.39976925,0.00592814,0.4059683,0.00152576,0.34460214,0.04510608,0.36104196,0.03343103
1,320,213,0.15,0.15290163052744193,2.292400234741784e-07,0.266,0.6013954,0.52452904,0.0479996,0.5372134,0.04007882,0.5128155,0.05531419,0.52272373,0.04912696,0.5155057,0.05363429,0.51640224,0.05307442,0.51640224,0.05307442,0.5155057,0.05363429,0.5155057,0.05363429,0.5182035,0.05194965,0.5137124,0.05475411,0.5110265,0.05643135,0.5910669,0.00644969,0.5951013,0.00393037,0.5110265,0.05643135,0.5344945,0.0417766
2,200,133,0.05,0.05216601123887645,2.4475250626566417e-08,0.06,0.20273806,0.16018468,0.03538042,0.16797774,0.028901,0.14981808,0.0439996,0.16018468,0.03538042,0.15240423,0.04184937,0.15498808,0.03970106,0.14981808,0.0439996,0.15240423,0.04184937,0.15240423,0.04184937,0.15498808,0.03970106,0.15240423,0.04184937,0.15240423,0.04184937,0.19998558,0.00228851,0.1986933,0.00336297,0.15240423,0.04184937,0.17054674,0.02676504
2,200,133,0.1,0.1024609835113204,2.4475250626566417e-08,0.13,0.40425608,0.36158744,0.03038524,0.37048647,0.02404805,0.3467211,0.04097186,0.36158744,0.03038524,0.34820193,0.03991734,0.35263792,0.03675837,0.34526414,0.04200941,0.34967026,0.03887171,0.34820193,0.03991734,0.35263792,0.03675837,0.34820193,0.03991734,0.34820193,0.03991734,0.40399453,0.00018627,0.40371227,0.00038727,0.34967026,0.03887171,0.37196302,0.02299657
2,200,133,0.15,0.15477524114965732,1.468515037593985e-07,0.227,0.60104764,0.5469967,0.03375972,0.5583001,0.02669972,0.524799,0.04762422,0.5439319,0.03567397,0.52676696,0.04639503,0.53175396,0.04328019,0.5238163,0.04823799,0.52875006,0.04515641,0.52775687,0.04577673,0.5327565,0.04265403,0.52676696,0.04639503,0.5228349,0.04885096,0.60104764,0.,0.60028785,0.00047457,0.52676696,0.04639503,0.5583001,0.02669972
3,500,332,0.05,0.050840616087149314,6.275100401606426e-08,0.049,0.26055917,0.24362817,0.01343134,0.24362817,0.01343134,0.24134256,0.01524451,0.24134256,0.01524451,0.24134256,0.01524451,0.24134256,0.01524451,0.24134256,0.01524451,0.24134256,0.01524451,0.24134256,0.01524451,0.24134256,0.01524451,0.24134256,0.01524451,0.24134256,0.01524451,0.25830024,0.00179202,0.2604899,5.4955075e-05,0.24134256,0.01524451,0.24362817,0.01343134
