energy,prior,fidelity,mass,psnr,ssim_indices
264725.8773122496,264725.8773122496,0.0,0.0,16.481432632364037,0.35546388706181903
261916.5169547747,261915.37524348943,1.141711285286838,-0.5158086274750531,16.549798165367463,0.35724626722412606
259126.76126176372,259122.210686731,4.550575032713121,-1.0673990597133525,16.618202004225566,0.3590312035288054
256357.13064380793,256346.92945570586,10.201188102073207,-1.645265463157557,16.686636874147723,0.3608185982432786
253607.8236755976,253589.75655940696,18.067116190640714,-2.242208494863007,16.755096160316928,0.36260782126419316
250879.10995757344,250850.98828822584,28.121669347595656,-2.834064808615949,16.82357384621021,0.36439874100490055
248171.40391642545,248131.06731923742,40.33659718801384,-3.4449628373258747,16.89206247462076,0.36619137388942713
245484.78603777458,245430.1030092771,54.68302849746901,-4.075774498051032,16.960555507660136,0.36798547953950544
242819.41528287338,242748.28311795802,71.13216491535476,-4.73566597152967,17.029044071864202,0.36978090146136333
240175.40406061176,240085.74928874618,89.65477186557858,-5.422440872876905,17.097521338064485,0.37157728578924726
237553.08000864106,237442.8599780147,110.22003062636959,-6.117141334863845,17.165980034435858,0.3733744009803724
234952.52708525342,234819.7307971136,132.79628813982583,-6.834137953526806,17.234413241074318,0.37517214092079487
232373.89481776507,232216.5424797966,157.3523379684903,-7.569938870612532,17.302812123094068,0.37697029231574125
229817.3967937121,229633.53964454355,183.85714916854633,-8.335999676259235,17.37116732521843,0.37876883864931354
227283.15666835345,227070.8806554838,212.27601286963767,-9.124233274604194,17.439472160828885,0.38056770047396093
224771.22345325036,224528.6473054521,242.57614779826437,-9.928608078160323,17.507717597557587,0.3823666977317644
222281.65303425826,222006.9278176434,274.7252166148812,-10.764200898935087,17.575897043410485,0.38416549361000424
219814.53611605443,219505.8461798774,308.68993617701443,-11.621810664772056,17.643999859850524,0.38596334078414424
217369.7262229944,217025.28829132175,344.43793167265187,-12.48400447005406,17.712020651658527,0.38776027757027487
214947.35920864588,214565.4228631829,381.93634546296965,-13.350797866703942,17.779950260141707,0.3895563340736858
212547.4939867807,212126.3457410627,421.1482457180245,-14.207081822503824,17.8477823613732,0.39135192527215984
210170.10090543673,209708.06095774073,462.03994769598773,-15.081758353568148,17.915505626129846,0.39314671547088703
207815.18562530403,207310.60745396177,504.5781713422556,-15.973889534536283,17.98311272851488,0.3949402873194616
205482.68655019312,204933.95742844208,548.7291217510318,-16.895294674206525,18.05059122738658,0.3967326476668703
203172.63518877953,202578.17683974322,594.4583490363161,-17.830445600440726,18.117931804361405,0.3985232214756255
200884.97949413245,200243.24731670032,641.7321774321417,-18.810429938777816,18.185123810674053,0.4003118435545903
198619.8168144816,197929.302233721,690.5145807605762,-19.821328821068164,18.25216059207183,0.40209830714549755
196377.22304703583,195636.455993371,740.7670536648426,-20.854085528000724,18.319031142858012,0.403882722112536
194157.12482863633,193364.67025733844,792.4545712978806,-21.891059900983237,18.38572833007949,0.4056647100831006
191959.40444279969,191113.86346319606,845.5409796036254,-22.927584805351216,18.452238259386228,0.407443781980035
189783.9252878912,188883.92779207116,899.9974958200552,-23.950558296579402,18.51855361708925,0.40922047730644734
187630.6865624804,186674.90088741534,955.7856750650643,-24.961960558372084,18.584661880753877,0.41099426638926095
185499.6159711523,184486.7435821097,1012.8723890425965,-25.939076893148012,18.650554580520705,0.41276477978298537
183390.7891553792,182319.56728357452,1071.2218718046818,-26.9470409360365,18.716217836397604,0.4145322333619396
181304.12895030744,180173.33376793782,1130.7951823696326,-27.992176675237715,18.78164523525854,0.41629675569986596
179239.55682489777,178048.001090551,1191.555734346773,-29.11276796105085,18.84682023639398,0.418057550642066
177197.02788681138,175943.55792712505,1253.4699596863227,-30.248023149964865,18.911733120419925,0.41981445878560514
175176.46530222715,173859.9633306814,1316.5019715457513,-31.412300976051483,18.976372309727253,0.4215671423463137
173177.75968392988,171797.140842881,1380.618841048882,-32.619099480099976,19.04073021186773,0.423315859686258
171200.92217639915,169755.13942301134,1445.78275338782,-33.880578781303484,19.104793361442812,0.42506011560775997
169245.88275252262,167733.92198383776,1511.9607686848628,-35.16345033165999,19.168552917939525,0.4267999372039117
167312.39896111586,165733.28191887317,1579.117042242695,-36.46303361142054,19.231993879748895,0.4285353664442539
165400.41106253327,163753.18876062948,1647.2223019037988,-37.77390246797586,19.295107483199715,0.43026609084903117
163509.74303573184,161793.50058561217,1716.2424501196517,-39.08934265986318,19.357880332313304,0.4319917296507379
161640.14536600045,159853.99290992244,1786.152456078008,-40.42971749207936,19.420304710102116,0.4337123209440401
159791.68477178036,157934.76822930324,1856.9165424771102,-41.789224987325724,19.48236314269223,0.4354271563432184
157964.2196132262,156035.71960848503,1928.5000047411697,-43.18335501779802,19.54404725846588,0.43713658481318235
156157.67369690334,154156.79798688076,2000.8757100225644,-44.601737192308065,19.60533898823462,0.4388398939422806
