img_index,noise_std,conv_type
2,0.15,max_it
6,0.15,max_it
6,0.1,max_it
5,0.15,max_it
18,0.15,max_it
18,0.1,max_it
15,0.15,max_it
14,0.15,max_it
14,0.1,max_it
12,0.15,max_it
23,0.15,max_it
22,0.15,max_it
29,0.15,max_it
39,0.15,max_it
37,0.15,max_it
47,0.15,max_it
46,0.15,max_it
41,0.15,max_it
49,0.15,max_it
66,0.15,max_it
74,0.15,max_it
72,0.15,max_it
72,0.1,max_it
83,0.15,max_it
82,0.15,max_it
96,0.15,max_it
64,0.05,no
40,0.05,no
54,0.05,no
19,0.05,no
17,0.05,no
13,0.05,no
32,0.05,no
43,0.05,no
52,0.05,no
69,0.05,no
68,0.05,no
64,0.1,no
62,0.05,no
99,0.05,no
97,0.05,no
