width,height,noise_1,noise_1_coef,noise_2,noise_2_coef,noise_3,noise_3_coef
64.0,64.0,0.05,1.718443632125854,0.1,1.8399933973948157,0.15,1.907010652400829
64.0,128.0,0.05,1.865786810715993,0.1,1.9439077625672019,0.15,1.904669514408818
64.0,192.0,0.05,1.9291510184605911,0.1,1.9300904538896344,0.15,1.924721399943034
64.0,256.0,0.05,1.9517814119656878,0.1,1.9257100919882453,0.15,1.959817056302671
64.0,320.0,0.05,1.95984939734141,0.1,1.945937077204386,0.15,1.9599974596941914
128.0,64.0,0.05,1.748993744452794,0.1,1.8679170558849967,0.15,1.8538150522443981
64.0,384.0,0.05,1.9573887189229324,0.1,1.9536760118272565,0.15,1.9665816683828097
64.0,448.0,0.05,1.9535622426441732,0.1,1.9693878434953231,0.15,1.967992732133815
128.0,128.0,0.05,1.8933400511741634,0.1,1.8836850921312964,0.15,1.9261002540588377
64.0,512.0,0.05,1.9558154046535488,0.1,1.9701464722553885,0.15,1.9680195384555392
128.0,192.0,0.05,1.9216355350282452,0.1,1.9274882144398153,0.15,1.942525969611274
64.0,576.0,0.05,1.95838831089161,0.1,1.9683661284270104,0.15,1.9752618216683346
128.0,256.0,0.05,1.9330384830633796,0.1,1.9514348357915874,0.15,1.9527490492220276
64.0,640.0,0.05,1.9645758469899492,0.1,1.9665300846099851,0.15,1.9757443887216075
128.0,320.0,0.05,1.9494112332661944,0.1,1.9526751836140948,0.15,1.9646201310334384
192.0,64.0,0.05,1.760297682550218,0.1,1.8284691704644092,0.15,1.842216209129051
128.0,384.0,0.05,1.951362358199225,0.1,1.9599363207817073,0.15,1.9689274422916367
192.0,128.0,0.05,1.8780193395084799,0.1,1.9003601537810426,0.15,1.9207558514159404
128.0,448.0,0.05,1.958227157592773,0.1,1.9643059798649374,0.15,1.9688557064722456
192.0,192.0,0.05,1.9121713108486593,0.1,1.9359619529158976,0.15,1.9454983526787153
128.0,512.0,0.05,1.958286513884862,0.1,1.963333040475845,0.15,1.9694151701750577
192.0,256.0,0.05,1.9355961018138457,0.1,1.9480458564228476,0.15,1.9576246355786737
128.0,576.0,0.05,1.9610630141364198,0.1,1.9683104974252201,0.15,1.9671167365808058
192.0,320.0,0.05,1.9477501180436874,0.1,1.957018110487196,0.15,1.9590062270929784
256.0,64.0,0.05,1.7685485382874804,0.1,1.8110113839308417,0.15,1.872164452517474
128.0,640.0,0.05,1.9619127114613848,0.1,1.9711983203887937,0.15,1.9642074019820603
192.0,384.0,0.05,1.9519927325072106,0.1,1.961465235109682,0.15,1.9605212741427953
192.0,448.0,0.05,1.9567830221993578,0.1,1.9646690005347838,0.15,1.9589010369840754
256.0,128.0,0.05,1.8706046044826503,0.1,1.9091504315535224,0.15,1.918178355252301
256.0,192.0,0.05,1.914411452081468,0.1,1.9341599610116742,0.15,1.9458420482682595
192.0,512.0,0.05,1.9583437177870002,0.1,1.9652373260921896,0.15,1.9688429655852142
256.0,256.0,0.05,1.9347280263900752,0.1,1.9452979167302447,0.15,1.953416621243512
192.0,576.0,0.05,1.961690113868242,0.1,1.963238362912778,0.15,1.9683636428560902
256.0,320.0,0.05,1.9442820549011228,0.1,1.9579797983169553,0.15,1.9523952625415946
320.0,64.0,0.05,1.7668467760086057,0.1,1.8180569012959795,0.15,1.8608873861807367
192.0,640.0,0.05,1.9640073511335583,0.1,1.9631877210405135,0.15,1.96913884009844
320.0,128.0,0.05,1.876666943232218,0.1,1.9004118442535398,0.15,1.9223774804009333
256.0,384.0,0.05,1.9509305556615189,0.1,1.9597288635041974,0.15,1.9640055703528134
256.0,448.0,0.05,1.9562579336620507,0.1,1.9590922764369416,0.15,1.964926593518131
320.0,192.0,0.05,1.918355888790554,0.1,1.9357315699259436,0.15,1.9408303719979747
256.0,512.0,0.05,1.9579455256462093,0.1,1.9615943233172095,0.15,1.9699229134453666
320.0,256.0,0.05,1.9332696994145708,0.1,1.9498058160146075,0.15,1.945507261488173
256.0,576.0,0.05,1.9608683056301535,0.1,1.9645527557090472,0.15,1.9647570794501916
320.0,320.0,0.05,1.94726816813151,0.1,1.9521754582722979,0.15,1.9592584680627894
256.0,640.0,0.05,1.963256994883219,0.1,1.9630151987075803,0.15,1.9656818884390375
320.0,384.0,0.05,1.9530505604214135,0.1,1.9549369812011717,0.15,1.961940011860412
320.0,448.0,0.05,1.9556597300938192,0.1,1.9608890442621136,0.15,1.9614105628281044
320.0,512.0,0.05,1.9595152139663694,0.1,1.960069934527079,0.15,1.9629347765887226
320.0,576.0,0.05,1.9606809262876153,0.1,1.961876198097511,0.15,1.966401245368361
320.0,640.0,0.05,1.9615495999654131,0.1,1.9656608899434405,0.15,1.9634956077293113
